"LocationLongitude","LocationLatitude","IPAddress","Message","Q1","Q37","Q43","Q44","Q36","Q33","Q42","Q34","Q35","Q25","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q24_6","Q24_7","Q24_8","Q26","Q28","Q29","Q30","Q31","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q32_8","Q33_1","Q33_2","Q33_3","Q33_4","Q33_5","Q33_6","Q33_7","Q33_8","Q41_1","Q41_2","Q41_3","Q41_4","Q41_5","Q41_6","Q41_7","Q41_8","Q41_9","Q42_1","Q40","Q12","Q18","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16_8","Q17","Q34_1","Q36_1","Q37_1","Q39","Q38","Q40_1","Q40_2","Q40_3","Q40_4","Q40_5","Q40_6","Q40_7","Q40_8","Q40_9","Q40_10","Q21","Q19","Q20","Q13","Q14","Q15","Q23","PassFail"
-95.9306030273438,36.0283966064453,"72.213.176.198","Message 2 River","I AGREE to participate",1,"None at all","None at all","0",0,"0",1,"An attorney challenging the permit","Slightly unlikely",1,2,5,4,6,3,8,7,"About the same","Slightly more vulnerable","No",0,"The watershed has no value to me, the river is simply a source of water to be stored for human use.",0,0,0,0,0,0,0,0,75,20,0,5,0,0,0,0,"Donated time or money to a political campaign","0","0","0","0","0","0","0","Voted in the last federal election","Somewhat disagree","Millard Fillmore",42,"Male","White","0","0","0",0,"0","0","0","Yes","Tulsa",42,"Urban","No Relationship","0","Hiked","Camped","0","0","Gone boating (kayaking, canoeing, motorboating...)","0","Fished","Visited a local park","Visited a wildlife refuge or state park","0","2 year degree","Employed full time","$60,000 - $69,999","Republican","0","&nbsp;","How people feel about development of water sources vs the environment.","Pass"
-97.4646987915039,35.6699066162109,"104.200.37.211","Message 2 River","I AGREE to participate",1,"A lot","A lot","None at all",0,"0",1,"An attorney challenging the permit","Moderately likely",6,4,5,7,2,8,3,1,"Moderately less vulnerable","Much less vulnerable","Yes",20000,"0",1900,2500,2700,3100,1800,2700,3000,2300,0,0,0,0,0,0,0,0,"0","Attended a town hall or city council meeting","Attended a rally/demonstration/march","0","0","0","0","0","0","Agree","Zachary Taylor",27,"Female","White","0","0","0",0,"0","0","0","Yes","Pittsburg",3,"Urban","Resident near the river","0","0","0","Gone ""off-roading""","0","0","0","0","0","0","0","4 year degree","Employed full time","$50,000 - $59,999","Democrat","0","&nbsp;","important one","Fail"
-95.8071975708008,36.0431976318359,"75.89.7.109","Message 1 OKC","I AGREE to participate",1,"A moderate amount","A little","0",1,"The opposition attorney",0,"0","Extremely likely",6,1,3,4,2,5,7,8,"Moderately more vulnerable","About the same","Yes",10,"0",0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,"0","0","0","Signed a petition","0","0","0","0","Voted in the last federal election","Somewhat agree","Millard Fillmore",55,"Male","White","0","0","0",0,"0","0","0","Yes","Oklahoma",51,"Suburban","Visit the area for recreation/tourism","0","Hiked","Camped","Gone ""off-roading""","0","Gone boating (kayaking, canoeing, motorboating...)","Hunted","Fished","Visited a local park","Visited a wildlife refuge or state park","Visited a national park (anywhere in the US)","4 year degree","Employed full time","$30,000 - $39,999","Republican","0","&nbsp;","Go Sooners!","Pass"
101.670806884766,3.16709899902344,"1.32.54.59","No Message Control","I AGREE to participate",1,"None at all","None at all","0",0,"0",0,"0","Moderately likely",3,4,1,5,2,7,6,8,"About the same","Moderately less vulnerable","No",0,"I think the government should pay",0,0,0,0,0,0,0,0,25,25,0,25,25,0,0,0,"0","0","0","0","0","0","0","0","Voted in the last federal election","Disagree","Millard Fillmore",32,"Male","0","Black or African American","0","0",0,"0","0","0","Yes","Cleveland",32,"Urban","No Relationship","0","Hiked","Camped","0","Biked for recreation","0","0","0","0","0","Visited a national park (anywhere in the US)","4 year degree","Employed full time","$20,000 - $29,999","Independent","0","Liberal","0","Pass"
-97.17919921875,34.1566009521484,"156.110.78.46","No Message Control","I AGREE to participate",1,"None at all","None at all","0",0,"0",0,"0","Extremely likely",4,5,1,3,2,6,8,7,"Much more vulnerable","Much more vulnerable","No",0,"I don't have extra money for things like that.  If I did have extra money, I do believe this would be a good cause to donate to.",0,0,0,0,0,0,0,0,20,20,20,20,20,0,0,0,"0","0","0","Signed a petition","0","0","0","0","0","Agree","Millard Fillmore",43,"Female","White","0","0","0",0,"0","0","0","Yes","Carter",43,"Rural","No Relationship","0","0","0","0","0","0","0","Fished","Visited a local park","Visited a wildlife refuge or state park","0","4 year degree","Employed full time","$40,000 - $49,999","Republican","0","&nbsp;","0","Pass"
-96.0243988037109,36.1042022705078,"172.58.70.162","No Message Control","I AGREE to participate",1,"A little","A moderate amount","0",0,"0",0,"0","Moderately likely",3,6,4,1,2,8,7,5,"About the same","Moderately more vulnerable","Yes",25,"0",5,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,"0","0","Attended a rally/demonstration/march","Signed a petition","0","0","0","0","0","Somewhat agree","Millard Fillmore",35,"Male","0","0","American Indian or Alaska Native","0",0,"0","0","0","Yes","Oklahoma",32,"Urban","Visit the area for recreation/tourism","0","0","0","0","0","0","0","Fished","0","0","0","Some college","Employed full time","$50,000 - $59,999","Republican","0","Conservative","None","Pass"
-97.4794998168945,35.6678924560547,"45.26.100.38","Message 1 OKC","I AGREE to participate",1,"A moderate amount","A moderate amount","0",1,"The opposition attorney",0,"0","Moderately likely",7,5,3,1,2,6,4,8,"Slightly more vulnerable","Much more vulnerable","No",0,"I would have to research before I commit.",0,0,0,0,0,0,0,0,6,15,20,11,15,15,10,8,"Donated time or money to a political campaign","Attended a town hall or city council meeting","Attended a rally/demonstration/march","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","0","0","Voted in the last federal election","Somewhat agree","Millard Fillmore",42,"Female","White","0","0","0",0,"0","0","0","Yes","Oklahoma",39,"Suburban","Visit the area for recreation/tourism","0","Hiked","0","0","0","0","0","Fished","Visited a local park","Visited a wildlife refuge or state park","Visited a national park (anywhere in the US)","4 year degree","Employed full time","$20,000 - $29,999","Democrat","0","&nbsp;","Perceived importance of environmental concerns versus financial allocation to said concerns","Pass"
-97.4535980224609,35.2144012451172,"70.182.90.43","Message 1 OKC","I AGREE to participate",1,"None at all","None at all","0",1,"The opposition attorney",0,"0","Neither likely nor unlikely",6,8,1,7,2,5,3,4,"Much more vulnerable","Much more vulnerable","No",0,"Because i'm poor and can't afford it.",0,0,0,0,0,0,0,0,10,10,20,10,20,10,10,10,"0","0","0","0","0","0","0","0","Voted in the last federal election","Neither agree nor disagree","Zachary Taylor",25,"Male","White","0","0","0",0,"0","0","0","Yes","Cleveland",21,"Suburban","No Relationship","0","0","Camped","Gone ""off-roading""","0","0","0","0","Visited a local park","0","0","Some college","Student","$10,000 - $19,999","Independent","0","Neither/Even Split","no idea","Pass"
-95.9306030273438,36.0283966064453,"184.187.250.77","No Message Control","I AGREE to participate",1,"None at all","None at all","0",0,"0",0,"0","Neither likely nor unlikely",3,5,1,6,2,4,7,8,"About the same","Slightly more vulnerable","No",0,"I already donate to a couple wildlife conservation efforts.",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"Donated time or money to a political campaign","Attended a town hall or city council meeting","Attended a rally/demonstration/march","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","0","0","Voted in the last federal election","Agree","Millard Fillmore",67,"Male","White","0","0","0",0,"0","0","0","Yes","Tulsa",67,"Suburban","No Relationship","0","0","0","0","0","0","0","Fished","Visited a local park","0","0","2 year degree","Retired","$30,000 - $39,999","Something else","Libertarian","&nbsp;","Something about priorities in nature conservation.","Pass"
-97.5560989379883,35.4199981689453,"68.97.217.240","No Message Control","I AGREE to participate",1,"None at all","None at all","0",0,"0",0,"0","Moderately likely",2,6,1,5,7,8,4,3,"About the same","Moderately more vulnerable","No",0,"There should never be a fee for a natural resource.",0,0,0,0,0,0,0,0,5,10,75,5,5,0,0,0,"Donated time or money to a political campaign","Attended a town hall or city council meeting","Attended a rally/demonstration/march","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","0","0","Voted in the last federal election","Somewhat agree","Millard Fillmore",42,"Female","White","0","0","0",0,"0","0","0","Yes","Oklahoma",10,"Urban","No Relationship","0","0","0","0","0","0","0","0","Visited a local park","0","0","High school graduate","Employed full time","$20,000 - $29,999","Independent","0","Conservative","I don't know.","Pass"
-97.3419036865234,35.4604034423828,"68.97.176.166","Message 2 River","I AGREE to participate",1,"None at all","None at all","0",0,"0",1,"An attorney challenging the permit","Moderately likely",1,3,7,4,5,8,6,2,"Slightly more vulnerable","Slightly more vulnerable","Yes",40,"0",5,4,2,2,4,5,8,10,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0","Voted in the last federal election","Disagree","Millard Fillmore",38,"Female","White","0","0","0",0,"0","0","0","Yes","Oklahoma",38,"Urban","Oklahoma City metro area resident","0","0","0","Gone ""off-roading""","0","Gone boating (kayaking, canoeing, motorboating...)","0","0","Visited a local park","0","0","2 year degree","Unemployed looking for work","$30,000 - $39,999","Independent","0","Liberal","Not sure","Pass"
-97.6250991821289,35.5989990234375,"174.236.15.78","No Message Control","I AGREE to participate",1,"A little","A little","0",0,"0",0,"0","Slightly likely",2,3,5,1,4,8,7,6,"Moderately less vulnerable","Moderately more vulnerable","Yes",100,"0",10,20,10,20,10,10,10,10,0,0,0,0,0,0,0,0,"Donated time or money to a political campaign","0","Attended a rally/demonstration/march","Signed a petition","Joined and/or contribute to a community-lead group (via social media or in-person)","Called or written to a representative (local, state, or national)","0","0","Voted in the last federal election","Strongly agree","Zachary Taylor",39,"Female","White","0","0","0",0,"0","0","0","Yes","Cherokee",39,"Rural","Visit the area for recreation/tourism","0","Hiked","0","0","Biked for recreation","Gone boating (kayaking, canoeing, motorboating...)","0","Fished","Visited a local park","Visited a wildlife refuge or state park","0","Professional degree","Employed full time","$90,000 - $99,999","Republican","0","Conservative","To test knowledge of the watershed as well as see how people rank the good qualities of the watershed.","Pass"
-97.6411972045898,35.577392578125,"68.12.57.193","Message 1 OKC","I AGREE to participate",1,"None at all","None at all","0",1,"An attorney for the city",0,"0","Slightly likely",1,3,4,2,5,6,8,7,"Slightly more vulnerable","Slightly more vulnerable","No",0,"It's not in my budget",0,0,0,0,0,0,0,0,45,20,5,20,4,2,2,2,"0","0","0","Signed a petition","0","0","0","0","Voted in the last federal election","Somewhat agree","Zachary Taylor",47,"Female","White","0","0","0",0,"0","0","0","Yes","Oklahoma",47,"Suburban","Oklahoma City metro area resident","0","0","0","0","0","0","0","0","Visited a local park","Visited a wildlife refuge or state park","Visited a national park (anywhere in the US)","High school graduate","Employed full time","$30,000 - $39,999","Democrat","0","Neither/Even Split","The exposure of the watershed issues","Pass"
